log,scen,cell,var,run,worst35,lift_s,az_liftoff,status,P15_before,P15_after,mean0_10,mean10_35,az_at_rel,az_peak,az_final,t80,err_at_rel,overshoot,alt_drop20,alt_exc35
s1_nopre_0.15_v1_r0,S1,nopre 0.15,1,0,0.282656949482039,4.287451000000004,0.0,ok,5.000000058430487e-08,6.202646545716561e-06,0.09081275557846022,0.2405514496351579,0.0,0.13,0.13,14.239301999999995,,,,
s1_nopre_0.15_v1_r1,S1,nopre 0.15,1,1,0.2788556975771943,4.299945999999991,0.01,ok,5.000000058430487e-08,6.183634923218051e-06,0.07890758666127405,0.23858246879578815,0.0,0.13,0.13,14.131844999999984,,,,
s1_nopre_0.15_v1_r2,S1,nopre 0.15,1,2,0.28224323695176334,4.302445000000006,0.01,ok,5.000000058430487e-08,6.239032700250391e-06,0.07475757553862192,0.23936149604827398,0.0,0.13,0.13,14.24013500000001,,,,
s1_nopre_0.15_v2_r0,S1,nopre 0.15,2,0,0.6965014385175854,4.34242900000001,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.23294232949089877,0.5009957867617547,0.0,0.12,0.1183673469387755,20.300210000000007,,,,
s1_nopre_0.15_v2_r1,S1,nopre 0.15,2,1,0.6951466176455137,4.244968,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.23656669698896407,0.500914239422277,0.0,0.12,0.1182,20.527619000000016,,,,
s1_nopre_0.15_v2_r2,S1,nopre 0.15,2,2,0.7018620571063368,4.264960000000002,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.23693129448874514,0.5022312686904098,0.0,0.12,0.11900000000000001,20.332696999999996,,,,
s1_nopre_0.15_v3_r0,S1,nopre 0.15,3,0,0.6490262324921785,4.269957999999988,0.01,ok,,,0.18125069637202387,0.44827047292184463,0.0,0.13,0.12179999999999999,19.635475999999997,,,,
s1_nopre_0.15_v3_r1,S1,nopre 0.15,3,1,0.6475738835451601,4.303277999999992,0.01,ok,,,0.17755094786523667,0.4474254560144923,0.0,0.13,0.12220000000000002,19.797911,,,,
s1_nopre_0.15_v3_r2,S1,nopre 0.15,3,2,0.6495551124797201,4.274955999999989,0.01,ok,,,0.1815392538721454,0.4501877114158334,0.0,0.13,0.12179999999999999,19.74459899999998,,,,
s1_nopre_0.15_v4_r0,S1,nopre 0.15,4,0,0.3556333833548706,4.302444999999992,0.0,ok,5.000000058430487e-08,3.898982754435565e-07,0.13473233468592014,0.28260085520909467,0.0,0.13,0.1294,15.970275999999998,,,,
s1_nopre_0.15_v4_r1,S1,nopre 0.15,4,1,0.3534918602555992,4.282453000000004,0.0,ok,5.000000058430487e-08,3.901127172412089e-07,0.1379049339271212,0.2844513390197973,0.0,0.13,0.13,16.15520199999999,,,,
s1_nopre_0.15_v4_r2,S1,nopre 0.15,4,2,0.3563236823247369,4.303277999999992,0.0,ok,5.000000058430487e-08,3.9003293750283774e-07,0.13497118204869357,0.28488679322002713,0.0,0.13,0.1294,15.950283999999982,,,,
s1_plat_1.00_v1_r0,S1,plat 1.00,1,0,0.16174492903519777,3.200386000000009,0.0,ok,5.000000058430487e-08,6.209340881468961e-06,0.08039996085142302,0.0808505457531642,0.0,0.01,-0.01,nan,,,,
s1_plat_1.00_v1_r1,S1,plat 1.00,1,1,2.467683027737076,4.299946000000006,-0.99,ok,5.000000058430487e-08,6.2257008721644524e-06,0.758781262858358,2.0733192515636385,0.0,-0.00775,-0.05894999999999999,0.07746900000000778,,,,
s1_plat_1.00_v1_r2,S1,plat 1.00,1,2,0.33639302172232455,3.1878910000000076,0.0,ok,5.000000058430487e-08,6.2429958234133665e-06,0.2506139364421058,0.3093275926024518,0.0,0.01,-0.01,nan,,,,
s1_plat_1.00_v2_r0,S1,plat 1.00,2,0,0.15408241613768103,3.200386000000009,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.0755485103662021,0.10665369273807435,0.0,0.0,0.0,nan,,,,
s1_plat_1.00_v2_r1,S1,plat 1.00,2,1,8.237533137202274,5.9026380000000245,-0.06,ok,5.000000058430487e-08,5.000000058430487e-08,2.363176838370146,1.1603730576734674,0.0,0.0,-0.02,nan,,,,
s1_plat_1.00_v2_r2,S1,plat 1.00,2,2,0.5116035522733,3.202052000000009,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.36540539648871395,0.48558566575813444,0.0,0.0,0.0,nan,,,,
s1_plat_1.00_v3_r0,S1,plat 1.00,3,0,6.958948109763259,4.300779000000006,0.0,ok,,,0.892529040984157,1.7965684207695267,0.0,0.5700000000000001,0.4707999999999999,30.265389,,,,
s1_platd0_1.00_v1_r0,S1,platd0 1.00,1,0,0.3132907997667651,3.1470740000000035,0.0,ok,5.000000058430487e-08,6.218687758519081e-06,0.22470345017686885,0.26316405720661273,0.0,0.01,-0.01,nan,,,,
s1_platd0_1.00_v1_r1,S1,platd0 1.00,1,1,0.8754091997977174,4.199985999999996,-0.807,ok,5.000000058430487e-08,6.222517640708247e-06,0.30202376526196595,0.6553744177940133,0.0,0.0,-0.0364,0.012494999999972833,,,,
s1_platd0_1.00_v1_r2,S1,platd0 1.00,1,2,0.4857392980800803,3.1945550000000082,0.0,ok,5.000000058430487e-08,6.237813522602664e-06,0.3589695251639439,0.4338997307004068,0.0,0.0,-0.01,nan,,,,
s1_platd0_1.00_v2_r0,S1,platd0 1.00,2,0,0.27724359981239033,3.200386000000009,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.19442208389338603,0.25614783684313386,0.0,0.0,0.0,nan,,,,
s1_platd0_1.00_v2_r1,S1,platd0 1.00,2,1,2.442527900787536,6.602357999999981,-0.09949999999999987,ok,5.000000058430487e-08,5.000000058430487e-08,1.3801865620422182,0.7563829575103733,0.0,0.0,-0.053999999999999986,0.004998000000000502,,,,
s1_platd0_1.00_v2_r2,S1,platd0 1.00,2,2,0.4921150095373381,3.202052000000009,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.3612093410886509,0.47351184127669765,0.0,0.0,0.0,nan,,,,
s1_platd0_1.00_v3_r0,S1,platd0 1.00,3,0,7.180515029767411,4.202484999999996,0.0,ok,,,0.9124482704517698,1.8157584379797558,0.0,0.56,0.46939999999999993,30.26289,,,,
s1_platd0_1.00_v4_r0,S1,platd0 1.00,4,0,0.26393858104529677,3.202885000000009,0.0,ok,5.000000058430487e-08,3.900958347458072e-07,0.17931045092464445,0.2180056772371762,0.0,0.0,-0.01,nan,,,,
s1_platd0_1.00_v4_r1,S1,platd0 1.00,4,1,1.8229180842351307,5.112954000000002,-0.35,ok,5.000000058430487e-08,3.9005470853226143e-07,0.6802493411612057,0.8643093556750534,0.0,0.0,-0.051199999999999996,0.07580300000000761,,,,
s1_platd0_1.00_v4_r2,S1,platd0 1.00,4,2,0.5728659886444802,3.1995530000000088,0.0,ok,5.000000058430487e-08,3.882887256168033e-07,0.42905973586358087,0.54622115194139,0.0,0.0,-0.01,nan,,,,
s1_platd5_1.00_v1_r0,S1,platd5 1.00,1,0,0.3398022881709052,6.899739000000011,0.0,ok,5.000000058430487e-08,6.234365173440892e-06,0.23244796469002657,0.2682259436654968,0.0,0.01,-0.01,nan,,,,
s1_platd5_1.00_v1_r1,S1,platd5 1.00,1,1,2.1144903472764955,7.435358000000008,-0.96,ok,5.000000058430487e-08,6.220048362592934e-06,0.21241018652972762,1.615669609428352,0.0,0.0,-0.10099999999999998,0.012495000000001255,,,,
s1_platd5_1.00_v1_r2,S1,platd5 1.00,1,2,0.5814761846471832,6.664833000000016,0.0,ok,5.000000058430487e-08,6.226014193089213e-06,0.403960352378477,0.516878310559883,0.0,0.02,-0.01,nan,,,,
s1_platd5_1.00_v2_r0,S1,platd5 1.00,2,0,0.3408531823341061,6.699818999999991,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.20547568836404959,0.274935105455656,0.0,0.0,0.0,nan,,,,
s1_platd5_1.00_v2_r1,S1,platd5 1.00,2,1,7.149574160575867,9.502863999999988,-0.14,ok,5.000000058430487e-08,5.000000058430487e-08,2.105156166041736,0.3327548114339011,0.0,0.0,-0.064,0.009996000000001004,,,,
s1_platd5_1.00_v2_r2,S1,platd5 1.00,2,2,0.6027941906915668,6.6023580000000095,0.0,ok,5.000000058430487e-08,5.000000058430487e-08,0.4114691085566908,0.5526160981097774,0.0,0.0,0.0,nan,,,,
s1_platd5_1.00_v3_r0,S1,platd5 1.00,3,0,7.029589655529708,8.30001200000001,0.0,ok,,,0.09271599589182636,1.6050297075655489,0.0,0.37,0.27539999999999987,31.180023000000006,,,,
s1_platd5_1.00_v4_r0,S1,platd5 1.00,4,0,0.3130466029047966,6.499898999999999,0.0,ok,5.000000058430487e-08,3.900067326867429e-07,0.2020693690234784,0.23470349770408155,0.0,0.0,-0.01,nan,,,,
s1_platd5_1.00_v4_r1,S1,platd5 1.00,4,1,2.5593861013650896,7.912666999999999,-0.61,ok,5.000000058430487e-08,3.894920155289583e-07,1.2319188887074985,1.5070412079099285,0.0,0.0,-0.10319999999999997,0.07497000000000753,,,,
