session,t_start_s,usable_fields,text_blocks,missing_blocks,missing_pct,motion,live_blocks_per_field
CRSF,20,348,1014,286,28.2,6.64,2.9
CRSF,30,365,751,216,28.8,8.29,2.1
CRSF,40,600,4188,800,19.1,6.81,7.0
CRSF,50,451,4183,715,17.1,7.26,9.3
CRSF,60,417,4826,1139,23.6,12.67,11.6
CRSF,70,194,1912,655,34.3,13.40,9.9
CRSF,80,515,3424,963,28.1,6.67,6.6
CRSF,90,513,5680,1347,23.7,6.57,11.1
CRSF,100,600,6260,1393,22.3,5.02,10.4
CRSF,110,515,6004,1120,18.7,6.59,11.7
CRSF,120,434,4453,253,5.7,5.40,10.3
MAVLINK2,0,600,6354,225,3.5,4.48,10.6
MAVLINK2,10,600,6485,229,3.5,4.51,10.8
MAVLINK2,20,600,6173,186,3.0,5.04,10.3
MAVLINK2,30,499,4551,200,4.4,10.36,9.1
MAVLINK2,40,268,1123,417,37.1,24.91,4.2
MAVLINK2,60,600,3091,429,13.9,5.70,5.2
MAVLINK2,70,547,5849,390,6.7,6.18,10.7
MAVLINK2,80,485,5473,666,12.2,8.58,11.3
MAVLINK2,90,598,6476,618,9.5,7.66,10.8
MAVLINK2,100,503,5283,767,14.5,7.06,10.5
MAVLINK2,110,582,6146,697,11.3,7.00,10.6
MAVLINK2,120,438,5047,598,11.8,8.86,11.5
MAVLINK2,130,515,6137,927,15.1,8.85,11.9
MAVLINK2,140,431,4918,802,16.3,8.53,11.4
MAVLINK2,150,514,5883,876,14.9,7.63,11.4
MAVLINK2,160,353,3523,751,21.3,10.02,10.0
MAVLINK2,170,516,5751,793,13.8,6.46,11.1
MAVLINK2,180,350,4123,912,22.1,10.34,11.8
MAVLINK2,190,528,3447,256,7.4,14.93,6.5
MAVLINK2,200,170,416,269,64.7,25.12,2.4
