# FLOW_HGT_MIN=1.0 inject_on_s=33.564 inject_off_s=40.380 src=00000004.BIN head=84ec31a99d
t_s,VN,VE,alt_m
3.539,0.0000,0.0000,-0.000
3.739,0.0000,0.0000,-0.000
3.939,0.0000,0.0000,-0.000
4.139,0.0000,0.0000,-0.000
4.339,0.0000,0.0000,-0.000
4.540,0.0000,-0.0000,-0.001
4.740,0.0000,0.0001,-0.009
4.940,-0.0001,0.0000,-0.019
5.140,-0.0000,0.0000,-0.028
5.340,0.0001,0.0000,-0.034
5.539,0.0001,-0.0000,-0.038
5.739,0.0001,0.0000,-0.041
5.939,0.0000,0.0001,-0.042
6.139,-0.0000,0.0001,-0.041
6.339,-0.0000,0.0000,-0.039
6.539,-0.0001,0.0000,-0.036
6.740,-0.0001,-0.0000,-0.032
6.940,-0.0001,-0.0001,-0.027
7.140,0.0000,-0.0001,-0.021
7.340,0.0001,-0.0001,-0.015
7.539,0.0002,-0.0000,-0.010
7.739,0.0001,-0.0000,-0.004
7.939,0.0000,-0.0000,0.002
8.139,0.0001,0.0001,0.007
8.339,0.0001,0.0001,0.012
8.539,0.0001,0.0000,0.016
8.740,0.0001,0.0001,0.020
8.940,0.0001,0.0001,0.023
9.140,-0.0000,0.0001,0.026
9.340,0.0000,0.0001,0.028
9.540,0.0001,0.0000,0.030
9.739,0.0001,-0.0000,0.031
9.939,0.0002,0.0000,0.032
10.139,0.0001,0.0001,0.033
10.339,0.0001,0.0000,0.033
10.539,0.0002,0.0001,0.033
10.739,0.0002,0.0001,0.033
10.940,0.0002,0.0002,0.033
11.140,0.0002,0.0002,0.033
11.340,0.0003,0.0002,0.032
11.540,0.0003,0.0001,0.031
11.739,0.0002,0.0001,0.031
11.939,0.0002,0.0001,0.030
12.139,0.0003,0.0001,0.029
12.339,0.0003,0.0002,0.028
12.539,0.0003,0.0002,0.027
12.739,0.0003,0.0002,0.026
12.940,0.0003,0.0002,0.025
13.140,0.0004,0.0002,0.025
13.340,0.0004,0.0002,0.024
13.540,0.0005,0.0002,0.023
13.740,0.0005,0.0002,0.022
13.939,0.0004,0.0002,0.021
14.139,0.0005,0.0003,0.020
14.339,0.0004,0.0004,0.020
14.539,0.0004,0.0003,0.019
14.739,0.0005,0.0003,0.018
14.940,0.0004,0.0002,0.017
15.140,0.0004,0.0001,0.017
15.340,0.0005,0.0003,0.016
15.540,0.0004,0.0003,0.016
15.740,0.0004,0.0002,0.015
15.939,0.0005,0.0003,0.015
16.039,0.0005,0.0003,-0.001
16.139,0.0004,0.0002,-0.002
16.239,0.0002,0.0000,-0.003
16.339,0.0000,0.0000,-0.003
16.439,-0.0000,-0.0000,-0.003
16.539,-0.0001,-0.0000,-0.003
16.639,-0.0002,-0.0001,-0.003
16.739,-0.0002,-0.0001,-0.003
16.839,-0.0001,-0.0001,-0.003
16.939,-0.0001,-0.0000,-0.003
17.040,-0.0001,0.0000,-0.002
17.140,0.0000,0.0000,-0.002
17.240,0.0000,0.0001,-0.002
17.340,0.0001,0.0001,-0.001
17.440,0.0001,0.0001,-0.001
17.540,0.0001,0.0002,-0.001
17.640,0.0001,0.0001,-0.000
17.740,0.0001,0.0002,0.000
17.840,0.0002,0.0002,0.000
17.939,0.0002,0.0002,0.001
18.039,0.0002,0.0003,0.001
18.139,0.0002,0.0003,0.002
18.239,0.0003,0.0003,0.002
18.339,0.0003,0.0003,0.002
18.439,0.0003,0.0003,0.003
18.539,0.0004,0.0003,0.003
18.639,0.0004,0.0003,0.003
18.739,0.0005,0.0003,0.004
18.839,0.0005,0.0003,0.004
18.939,0.0006,0.0003,0.004
19.039,0.0006,0.0003,0.005
19.140,0.0006,0.0003,0.005
19.240,0.0006,0.0004,0.005
19.340,0.0007,0.0004,0.006
19.440,0.0008,0.0004,0.007
19.540,0.0009,0.0005,0.016
19.640,0.0009,0.0005,0.037
19.740,0.0010,0.0005,0.065
19.840,0.0010,0.0006,0.097
19.940,0.0011,0.0007,0.130
20.039,0.0012,0.0008,0.179
20.139,0.0010,0.0008,0.269
20.239,0.0005,0.0007,0.376
20.339,-0.0002,0.0005,0.473
20.439,-0.0011,0.0002,0.553
20.539,-0.0021,-0.0001,0.618
20.639,-0.0029,-0.0003,0.674
20.739,-0.0036,-0.0005,0.726
20.839,-0.0042,-0.0007,0.776
20.939,-0.0048,-0.0009,0.825
21.039,-0.0052,-0.0012,0.873
21.139,-0.0056,-0.0013,0.921
21.240,-0.0058,-0.0013,0.969
21.340,-0.0059,-0.0013,1.018
21.440,-0.0059,-0.0014,1.069
21.540,-0.0059,-0.0015,1.121
21.640,-0.0066,-0.0014,1.174
21.740,-0.0072,-0.0021,1.229
21.840,-0.0071,-0.0029,1.286
21.940,-0.0078,-0.0034,1.343
22.040,-0.0093,-0.0034,1.402
22.139,-0.0097,-0.0036,1.462
22.239,-0.0107,-0.0044,1.523
22.339,-0.0127,-0.0052,1.584
22.439,-0.0142,-0.0059,1.646
22.539,-0.0145,-0.0072,1.709
22.639,-0.0140,-0.0076,1.771
22.739,-0.0149,-0.0085,1.834
22.839,-0.0164,-0.0079,1.897
22.939,-0.0165,-0.0066,1.961
23.039,-0.0160,-0.0049,2.025
23.139,-0.0171,-0.0042,2.088
23.239,-0.0184,-0.0038,2.153
23.340,-0.0198,-0.0040,2.217
23.440,-0.0217,-0.0049,2.281
23.540,-0.0223,-0.0052,2.345
23.640,-0.0224,-0.0060,2.408
23.740,-0.0230,-0.0063,2.472
23.840,-0.0231,-0.0066,2.536
23.940,-0.0216,-0.0060,2.600
24.040,-0.0214,-0.0058,2.664
24.140,-0.0208,-0.0062,2.728
24.239,-0.0213,-0.0061,2.792
24.339,-0.0225,-0.0055,2.855
24.439,-0.0234,-0.0046,2.919
24.539,-0.0239,-0.0032,2.983
24.639,-0.0253,-0.0025,3.046
24.739,-0.0258,-0.0017,3.110
24.839,-0.0256,-0.0003,3.173
24.939,-0.0265,0.0001,3.237
25.039,-0.0271,0.0012,3.300
25.139,-0.0275,0.0013,3.364
25.239,-0.0289,0.0003,3.428
25.339,-0.0311,-0.0007,3.493
25.440,-0.0319,-0.0007,3.557
25.540,-0.0327,-0.0011,3.621
25.640,-0.0332,-0.0018,3.684
25.740,-0.0346,-0.0017,3.748
25.840,-0.0341,-0.0006,3.812
25.940,-0.0322,0.0004,3.875
26.040,-0.0314,-0.0004,3.939
26.140,-0.0305,-0.0020,4.003
26.239,-0.0292,-0.0035,4.066
26.339,-0.0270,-0.0069,4.130
26.439,-0.0251,-0.0103,4.194
26.539,-0.0214,-0.0121,4.256
26.639,-0.0178,-0.0116,4.313
26.739,-0.0158,-0.0108,4.363
26.839,-0.0128,-0.0128,4.404
26.939,-0.0112,-0.0131,4.437
27.039,-0.0095,-0.0112,4.464
27.139,-0.0088,-0.0067,4.483
27.239,-0.0023,-0.0034,4.493
27.339,0.0112,0.0014,4.493
27.440,0.0286,0.0079,4.483
27.540,0.0426,0.0134,4.464
27.640,0.0544,0.0164,4.434
27.740,0.0638,0.0180,4.394
27.840,0.0709,0.0202,4.345
27.940,0.0771,0.0245,4.285
28.040,0.0838,0.0281,4.215
28.140,0.0880,0.0342,4.135
28.240,0.0909,0.0380,4.045
28.339,0.0922,0.0397,3.945
28.439,0.0910,0.0396,3.835
28.539,0.0865,0.0361,3.715
28.639,0.0757,0.0317,3.585
28.739,0.0652,0.0288,3.446
28.839,0.0517,0.0284,3.300
28.939,0.0352,0.0283,3.150
29.039,0.0190,0.0320,3.001
29.139,0.0084,0.0314,2.855
29.239,0.0059,0.0288,2.716
29.339,0.0038,0.0255,2.586
29.439,0.0058,0.0250,2.466
29.540,0.0119,0.0270,2.357
29.640,0.0218,0.0293,2.262
29.740,0.0351,0.0373,2.179
29.840,0.0547,0.0483,2.109
29.940,0.0734,0.0532,2.051
30.040,0.0898,0.0557,2.004
30.140,0.0998,0.0516,1.970
30.240,0.1047,0.0448,1.947
30.340,0.1047,0.0415,1.935
30.439,0.1012,0.0415,1.932
30.539,0.0921,0.0388,1.937
30.639,0.0775,0.0362,1.946
30.739,0.0619,0.0325,1.957
30.839,0.0456,0.0259,1.970
30.939,0.0332,0.0198,1.982
31.039,0.0246,0.0171,1.993
31.139,0.0183,0.0130,2.003
31.239,0.0149,0.0099,2.012
31.339,0.0122,0.0089,2.018
31.439,0.0074,0.0073,2.023
31.539,0.0024,0.0037,2.026
31.640,-0.0009,0.0006,2.028
31.740,-0.0001,-0.0033,2.028
31.840,0.0058,-0.0060,2.027
31.940,0.0133,-0.0091,2.026
32.040,0.0194,-0.0127,2.024
32.140,0.0243,-0.0166,2.022
32.240,0.0289,-0.0189,2.020
32.340,0.0348,-0.0202,2.018
32.440,0.0402,-0.0212,2.016
32.539,0.0447,-0.0203,2.014
32.639,0.0469,-0.0169,2.012
32.739,0.0478,-0.0122,2.011
32.839,0.0491,-0.0068,2.009
32.939,0.0531,0.0005,2.008
33.039,0.0584,0.0072,2.008
33.139,0.0620,0.0142,2.007
33.239,0.0651,0.0198,2.006
33.339,0.0673,0.0212,2.005
33.439,0.0680,0.0196,2.005
33.539,0.0681,0.0156,2.005
33.639,0.0662,0.0121,2.004
33.740,0.0636,0.0085,2.004
33.840,0.0612,0.0063,2.004
33.940,0.0595,0.0061,2.004
34.040,0.0582,0.0074,2.004
34.140,0.0568,0.0076,2.004
34.240,0.0556,0.0082,2.004
34.340,0.0545,0.0091,2.004
34.440,0.0534,0.0093,2.005
34.540,0.0526,0.0098,2.005
34.639,0.0515,0.0083,2.005
34.739,0.0508,0.0079,2.005
34.839,0.0503,0.0083,2.005
34.939,0.0496,0.0079,2.005
35.039,0.0490,0.0078,2.005
35.139,0.0486,0.0084,2.005
35.239,0.0484,0.0100,2.005
35.339,0.0484,0.0124,2.005
35.439,0.0485,0.0149,2.005
35.539,0.0481,0.0156,2.006
35.639,0.0476,0.0155,2.006
35.739,0.0472,0.0151,2.006
35.840,0.0467,0.0140,2.006
35.940,0.0464,0.0134,2.007
36.040,0.0464,0.0141,2.007
36.140,0.0461,0.0135,2.008
