# FLOW_HGT_MIN=0.0 inject_on_s=34.632 inject_off_s=40.627 src=00000003.BIN head=84ec31a99d
t_s,VN,VE,alt_m
3.539,0.0000,0.0000,-0.000
3.739,0.0000,0.0000,-0.000
3.939,0.0000,0.0000,-0.000
4.139,0.0000,0.0000,-0.000
4.339,0.0000,0.0000,-0.000
4.540,0.0000,-0.0000,-0.001
4.740,0.0000,0.0001,-0.009
4.940,-0.0001,0.0000,-0.019
5.140,-0.0000,0.0000,-0.028
5.340,0.0001,0.0000,-0.034
5.539,0.0001,-0.0000,-0.038
5.739,0.0001,0.0000,-0.041
5.939,0.0000,0.0001,-0.042
6.139,-0.0000,0.0001,-0.041
6.339,-0.0000,0.0000,-0.039
6.539,-0.0001,0.0000,-0.036
6.740,-0.0001,-0.0000,-0.032
6.940,-0.0001,-0.0001,-0.027
7.140,0.0000,-0.0001,-0.021
7.340,0.0001,-0.0001,-0.015
7.539,0.0002,-0.0000,-0.010
7.739,0.0001,-0.0000,-0.004
7.939,0.0000,-0.0000,0.002
8.139,0.0001,0.0001,0.007
8.339,0.0001,0.0001,0.012
8.539,0.0001,0.0000,0.016
8.740,0.0001,0.0001,0.020
8.940,0.0001,0.0001,0.023
9.140,-0.0000,0.0001,0.026
9.340,0.0000,0.0001,0.028
9.540,0.0001,0.0000,0.030
9.739,0.0001,-0.0000,0.031
9.939,0.0002,0.0000,0.032
10.139,0.0001,0.0001,0.033
10.339,0.0001,0.0000,0.033
10.539,0.0002,0.0001,0.033
10.739,0.0002,0.0001,0.033
10.940,0.0002,0.0002,0.033
11.140,0.0002,0.0002,0.033
11.340,0.0003,0.0002,0.032
11.540,0.0003,0.0001,0.031
11.739,0.0002,0.0001,0.031
11.939,0.0002,0.0001,0.030
12.139,0.0003,0.0001,0.029
12.339,0.0003,0.0002,0.028
12.539,0.0003,0.0002,0.027
12.739,0.0003,0.0002,0.026
12.940,0.0003,0.0002,0.025
13.140,0.0004,0.0002,0.025
13.340,0.0004,0.0002,0.024
13.540,0.0005,0.0002,0.023
13.740,0.0005,0.0002,0.022
13.939,0.0004,0.0002,0.021
14.139,0.0005,0.0003,0.020
14.339,0.0004,0.0004,0.020
14.539,0.0004,0.0003,0.019
14.739,0.0005,0.0003,0.018
14.940,0.0004,0.0002,0.017
15.140,0.0004,0.0001,0.017
15.340,0.0005,0.0003,0.016
15.540,0.0004,0.0003,0.016
15.740,0.0004,0.0002,0.015
15.939,0.0005,0.0003,0.015
16.139,0.0004,0.0002,0.014
16.339,0.0004,0.0002,0.014
16.539,0.0005,0.0002,0.013
16.739,0.0004,0.0001,0.013
16.939,0.0005,0.0002,0.013
17.040,0.0005,0.0003,-0.000
17.140,0.0005,0.0003,-0.001
17.240,0.0003,0.0002,-0.002
17.340,0.0002,0.0001,-0.003
17.440,0.0000,0.0000,-0.003
17.540,-0.0001,0.0000,-0.003
17.640,-0.0002,-0.0001,-0.003
17.740,-0.0002,-0.0001,-0.003
17.840,-0.0002,-0.0001,-0.003
17.939,-0.0002,-0.0001,-0.003
18.039,-0.0002,-0.0000,-0.002
18.139,-0.0002,0.0000,-0.002
18.239,-0.0001,0.0001,-0.002
18.339,-0.0001,0.0001,-0.002
18.439,-0.0001,0.0000,-0.001
18.539,0.0000,0.0000,-0.001
18.639,0.0001,0.0000,-0.001
18.739,0.0002,0.0001,-0.000
18.839,0.0002,0.0001,-0.000
18.939,0.0003,0.0001,0.000
19.039,0.0003,0.0001,0.000
19.140,0.0003,0.0002,0.001
19.240,0.0004,0.0002,0.001
19.340,0.0004,0.0002,0.001
19.440,0.0005,0.0003,0.002
19.540,0.0006,0.0003,0.002
19.640,0.0005,0.0003,0.002
19.740,0.0006,0.0004,0.002
19.840,0.0006,0.0004,0.003
19.940,0.0006,0.0004,0.003
20.039,0.0006,0.0005,0.003
20.139,0.0007,0.0005,0.004
20.239,0.0007,0.0004,0.004
20.339,0.0007,0.0004,0.004
20.439,0.0007,0.0004,0.005
20.539,0.0007,0.0005,0.009
20.639,0.0009,0.0005,0.026
20.739,0.0009,0.0006,0.052
20.839,0.0010,0.0006,0.082
20.939,0.0010,0.0007,0.115
21.039,0.0012,0.0007,0.152
21.139,0.0011,0.0007,0.227
21.240,0.0006,0.0005,0.332
21.340,0.0004,0.0006,0.436
21.440,-0.0003,0.0001,0.523
21.540,-0.0016,-0.0006,0.593
21.640,-0.0032,-0.0012,0.651
21.740,-0.0046,-0.0023,0.704
21.840,-0.0052,-0.0033,0.755
21.940,-0.0062,-0.0040,0.804
22.040,-0.0076,-0.0041,0.852
22.139,-0.0082,-0.0043,0.900
22.239,-0.0092,-0.0049,0.947
22.339,-0.0108,-0.0055,0.995
22.439,-0.0121,-0.0060,1.045
22.539,-0.0125,-0.0068,1.096
22.639,-0.0121,-0.0069,1.149
22.739,-0.0128,-0.0075,1.204
22.839,-0.0140,-0.0069,1.260
22.939,-0.0141,-0.0060,1.317
23.039,-0.0137,-0.0051,1.376
23.139,-0.0146,-0.0052,1.436
23.239,-0.0155,-0.0056,1.497
23.340,-0.0165,-0.0065,1.559
23.440,-0.0181,-0.0076,1.621
23.540,-0.0189,-0.0082,1.684
23.640,-0.0194,-0.0090,1.747
23.740,-0.0205,-0.0094,1.810
23.840,-0.0211,-0.0096,1.874
23.940,-0.0205,-0.0091,1.938
24.040,-0.0210,-0.0090,2.001
24.140,-0.0213,-0.0095,2.065
24.239,-0.0224,-0.0095,2.129
24.339,-0.0239,-0.0088,2.193
24.439,-0.0250,-0.0078,2.257
24.539,-0.0257,-0.0063,2.320
24.639,-0.0273,-0.0055,2.384
24.739,-0.0282,-0.0046,2.448
24.839,-0.0285,-0.0031,2.511
24.939,-0.0298,-0.0025,2.575
25.039,-0.0307,-0.0014,2.638
25.139,-0.0315,-0.0011,2.702
25.239,-0.0329,-0.0015,2.766
25.339,-0.0346,-0.0020,2.830
25.440,-0.0352,-0.0017,2.894
25.540,-0.0357,-0.0017,2.957
25.640,-0.0360,-0.0018,3.021
25.740,-0.0368,-0.0015,3.084
25.840,-0.0363,-0.0003,3.147
25.940,-0.0347,0.0010,3.211
26.040,-0.0338,0.0010,3.274
26.140,-0.0327,0.0006,3.338
26.239,-0.0313,0.0001,3.401
26.339,-0.0292,-0.0018,3.465
26.439,-0.0273,-0.0039,3.529
26.539,-0.0241,-0.0051,3.592
26.639,-0.0210,-0.0047,3.656
26.739,-0.0190,-0.0043,3.720
26.839,-0.0162,-0.0062,3.784
26.939,-0.0145,-0.0069,3.847
27.039,-0.0129,-0.0059,3.911
27.139,-0.0131,-0.0033,3.975
27.239,-0.0133,-0.0035,4.039
27.339,-0.0128,-0.0040,4.103
27.440,-0.0113,-0.0039,4.167
27.540,-0.0118,-0.0044,4.231
27.640,-0.0121,-0.0064,4.294
27.740,-0.0122,-0.0089,4.353
27.840,-0.0123,-0.0108,4.404
27.940,-0.0116,-0.0110,4.447
28.040,-0.0088,-0.0117,4.482
28.140,-0.0054,-0.0095,4.510
28.240,0.0039,-0.0053,4.529
28.339,0.0188,0.0015,4.538
28.439,0.0353,0.0091,4.538
28.539,0.0498,0.0147,4.527
28.639,0.0572,0.0187,4.507
28.739,0.0624,0.0223,4.476
28.839,0.0624,0.0265,4.435
28.939,0.0577,0.0296,4.383
29.039,0.0508,0.0350,4.322
29.139,0.0455,0.0366,4.250
29.239,0.0441,0.0364,4.168
29.339,0.0408,0.0350,4.076
29.439,0.0391,0.0353,3.972
29.540,0.0394,0.0370,3.859
29.640,0.0420,0.0385,3.736
29.740,0.0474,0.0448,3.604
29.840,0.0594,0.0543,3.462
29.940,0.0720,0.0595,3.314
30.040,0.0846,0.0636,3.163
30.140,0.0923,0.0615,3.012
30.240,0.0960,0.0563,2.865
30.340,0.0956,0.0545,2.725
30.439,0.0917,0.0564,2.595
30.539,0.0811,0.0540,2.475
30.639,0.0632,0.0516,2.366
30.739,0.0443,0.0475,2.270
30.839,0.0250,0.0391,2.186
30.939,0.0118,0.0316,2.115
31.039,0.0053,0.0291,2.056
31.139,0.0024,0.0245,2.009
31.239,0.0040,0.0214,1.974
31.339,0.0064,0.0212,1.950
31.439,0.0059,0.0197,1.937
31.539,0.0052,0.0146,1.934
31.640,0.0074,0.0099,1.938
31.740,0.0153,0.0044,1.947
31.840,0.0293,0.0007,1.959
31.940,0.0444,-0.0036,1.971
32.040,0.0566,-0.0086,1.984
32.140,0.0660,-0.0135,1.995
32.240,0.0742,-0.0164,2.006
32.340,0.0830,-0.0181,2.014
32.440,0.0904,-0.0194,2.021
32.539,0.0959,-0.0183,2.025
32.639,0.0979,-0.0146,2.028
32.739,0.0975,-0.0093,2.030
32.839,0.0967,-0.0030,2.030
32.939,0.0982,0.0053,2.029
33.039,0.1009,0.0128,2.028
33.139,0.1018,0.0204,2.026
33.239,0.1022,0.0263,2.024
33.339,0.1015,0.0275,2.021
33.439,0.0992,0.0251,2.019
33.539,0.0973,0.0197,2.017
33.639,0.0946,0.0149,2.015
33.740,0.0923,0.0109,2.013
33.840,0.0903,0.0098,2.011
33.940,0.0885,0.0117,2.010
34.040,0.0842,0.0161,2.009
34.140,0.0768,0.0187,2.008
34.240,0.0711,0.0198,2.007
34.340,0.0649,0.0199,2.006
34.440,0.0588,0.0182,2.006
34.540,0.0518,0.0164,2.005
34.639,0.0446,0.0136,2.005
34.739,0.0397,0.0125,2.004
34.839,0.0365,0.0126,2.004
34.939,0.0341,0.0121,2.004
35.039,0.0323,0.0117,2.004
35.139,0.0310,0.0121,2.004
35.239,0.0302,0.0134,2.004
35.339,0.0297,0.0154,2.004
35.439,0.0293,0.0176,2.005
35.539,0.0286,0.0180,2.005
35.639,0.0277,0.0175,2.005
35.739,0.0270,0.0169,2.005
35.840,0.0261,0.0156,2.005
35.940,0.0255,0.0150,2.005
36.040,0.0251,0.0158,2.006
36.140,0.0246,0.0153,2.006
36.240,0.0238,0.0143,2.006
36.340,0.0227,0.0116,2.006
36.440,0.0215,0.0077,2.006
36.540,0.0207,0.0055,2.006
36.640,0.0199,0.0024,2.006
36.739,0.0194,0.0009,2.006
