# FLOW_HGT_MIN=5.0 head=126cf753c7 src=00000003.BIN - this round: the sample is discarded
t_s,truth_speed_ms,ekf_speed_ms,rng_m,const_pos
1.000,0.0000,0.0000,0.000,0
1.200,0.0000,0.0000,0.000,0
1.399,0.0000,0.0000,0.000,0
1.599,0.0000,0.0000,0.000,0
1.799,0.0000,0.0000,0.000,0
1.999,0.0000,0.0000,0.000,0
2.200,0.0000,0.0001,0.000,0
2.400,0.0000,0.0001,0.000,0
2.600,0.0000,0.0000,0.000,0
2.800,0.0000,0.0001,0.000,0
3.000,0.0000,0.0001,0.000,0
3.200,0.0000,0.0001,0.000,0
3.399,0.0000,0.0001,0.000,0
3.599,0.0000,0.0001,0.000,0
3.799,0.0000,0.0001,0.000,0
3.999,0.0000,0.0001,0.000,0
4.200,0.0000,0.0001,0.000,0
4.400,0.0000,0.0001,0.000,0
4.600,0.0000,0.0001,0.000,0
4.800,0.0000,0.0002,0.000,0
5.000,0.0000,0.0002,0.000,0
5.200,0.0000,0.0001,0.000,0
5.400,0.0000,0.0000,0.000,0
5.599,0.0000,0.0001,0.000,0
5.799,0.0000,0.0001,0.000,0
5.999,0.0000,0.0001,0.000,0
6.199,0.0000,0.0002,0.000,0
6.400,0.0000,0.0002,0.000,0
6.600,0.0000,0.0001,0.000,0
6.800,0.0000,0.0001,0.000,0
7.000,0.0000,0.0001,0.000,0
7.200,0.0000,0.0001,0.000,0
7.400,0.0000,0.0002,0.000,0
7.599,0.0000,0.0001,0.000,0
7.799,0.0000,0.0001,0.000,0
7.999,0.0000,0.0002,0.000,0
8.199,0.0000,0.0003,0.000,0
8.400,0.0000,0.0003,0.000,0
8.600,0.0000,0.0003,0.000,0
8.800,0.0000,0.0003,0.000,0
9.000,0.0000,0.0003,0.000,0
9.200,0.0000,0.0003,0.000,0
9.400,0.0000,0.0003,0.000,0
9.599,0.0000,0.0003,0.000,0
9.799,0.0000,0.0004,0.000,0
9.999,0.0000,0.0004,0.000,0
10.199,0.0000,0.0004,0.000,0
10.399,0.0000,0.0004,0.000,0
10.600,0.0000,0.0004,0.000,0
10.800,0.0000,0.0005,0.000,0
11.000,0.0000,0.0005,0.000,0
11.200,0.0000,0.0005,0.000,0
11.400,0.0000,0.0005,0.000,0
11.600,0.0000,0.0006,0.000,0
11.799,0.0000,0.0006,0.000,0
11.999,0.0000,0.0005,0.000,0
12.199,0.0000,0.0005,0.000,0
12.399,0.0000,0.0005,0.000,0
12.600,0.0000,0.0004,0.000,0
12.800,0.0000,0.0005,0.000,0
13.000,0.0000,0.0005,0.000,0
13.200,0.0000,0.0005,0.000,0
13.400,0.0000,0.0006,0.000,0
13.600,0.0000,0.0005,0.000,0
13.799,0.0000,0.0005,0.000,0
13.999,0.0000,0.0005,0.000,0
14.199,0.0000,0.0005,0.000,0
14.399,0.0000,0.0005,0.000,0
14.580,0.0000,0.0006,0.000,0
14.680,0.0000,0.0006,0.000,0
14.780,0.0000,0.0004,0.000,0
14.880,0.0000,0.0002,0.000,0
14.980,0.0000,0.0000,0.000,0
15.080,0.0000,0.0001,0.000,0
15.180,0.0000,0.0002,0.000,0
15.280,0.0000,0.0002,0.000,0
15.380,0.0000,0.0002,0.000,0
15.480,0.0000,0.0002,0.000,0
15.580,0.0000,0.0002,0.000,0
15.680,0.0000,0.0002,0.000,0
15.780,0.0000,0.0002,0.000,0
15.879,0.0000,0.0001,0.000,0
15.979,0.0000,0.0001,0.000,0
16.079,0.0000,0.0000,0.000,0
16.179,0.0000,0.0001,0.000,0
16.279,0.0000,0.0002,0.000,0
16.379,0.0000,0.0002,0.000,0
16.479,0.0000,0.0003,0.000,0
16.579,0.0000,0.0003,0.000,0
16.680,0.0000,0.0003,0.000,0
16.780,0.0000,0.0004,0.000,0
16.880,0.0000,0.0005,0.000,0
16.980,0.0000,0.0006,0.000,0
17.080,0.0000,0.0007,0.000,0
17.180,0.0000,0.0006,0.000,0
17.280,0.0000,0.0007,0.000,0
17.380,0.0000,0.0007,0.000,0
17.480,0.0000,0.0007,0.000,0
17.580,0.0000,0.0008,0.000,0
17.680,0.0000,0.0008,0.000,0
17.780,0.0000,0.0008,0.000,0
17.880,0.0000,0.0008,0.000,0
17.979,0.0000,0.0009,0.000,0
18.079,0.0000,0.0009,0.000,0
18.179,0.0000,0.0010,0.024,0
18.279,0.0000,0.0010,0.048,0
18.379,0.0000,0.0011,0.073,0
18.479,0.0000,0.0012,0.109,0
18.579,0.0001,0.0014,0.145,0
18.679,0.0005,0.0013,0.218,0
18.780,0.0012,0.0008,0.327,0
18.880,0.0020,0.0003,0.424,0
18.980,0.0031,0.0009,0.509,0
19.080,0.0043,0.0019,0.570,0
19.180,0.0056,0.0028,0.630,0
19.280,0.0069,0.0037,0.679,0
19.380,0.0081,0.0045,0.739,0
19.480,0.0092,0.0052,0.788,0
19.580,0.0103,0.0059,0.824,0
19.680,0.0113,0.0064,0.873,0
19.780,0.0123,0.0069,0.909,0
19.880,0.0133,0.0073,0.970,0
19.980,0.0143,0.0077,1.018,0
20.079,0.0152,0.0080,1.067,0
20.179,0.0161,0.0081,1.115,0
20.279,0.0168,0.0082,1.176,0
20.379,0.0176,0.0083,1.224,0
20.479,0.0184,0.0085,1.285,0
20.579,0.0193,0.0086,1.345,0
20.679,0.0202,0.0088,1.394,0
20.779,0.0211,0.0091,1.454,0
20.880,0.0219,0.0092,1.527,0
20.980,0.0227,0.0092,1.588,0
21.080,0.0235,0.0092,1.648,0
21.180,0.0245,0.0094,1.709,0
21.280,0.0254,0.0094,1.770,0
21.380,0.0263,0.0095,1.830,0
21.480,0.0274,0.0097,1.891,0
21.580,0.0286,0.0100,1.951,0
21.680,0.0299,0.0104,2.012,0
21.780,0.0312,0.0106,2.085,0
21.880,0.0323,0.0106,2.145,0
21.980,0.0331,0.0105,2.206,0
22.079,0.0338,0.0101,2.266,0
22.179,0.0344,0.0096,2.327,0
22.279,0.0348,0.0091,2.363,0
22.379,0.0353,0.0086,2.400,0
22.479,0.0357,0.0080,2.436,0
22.579,0.0362,0.0074,2.448,0
22.679,0.0367,0.0069,2.472,0
22.779,0.0372,0.0062,2.497,0
22.879,0.0378,0.0057,2.497,0
22.980,0.0383,0.0051,2.509,0
23.080,0.0389,0.0046,2.509,0
23.180,0.0394,0.0042,2.509,0
23.280,0.0400,0.0038,2.509,0
23.380,0.0407,0.0036,2.509,0
23.480,0.0413,0.0034,2.509,0
23.580,0.0419,0.0035,2.509,0
23.680,0.0426,0.0037,2.509,0
23.780,0.0436,0.0006,2.509,1
23.880,0.0446,0.0012,2.509,1
23.980,0.0456,0.0020,2.509,1
24.080,0.0463,0.0030,2.509,1
24.179,0.0469,0.0042,2.509,1
24.279,0.0474,0.0053,2.509,1
24.379,0.0483,0.0062,2.521,1
24.479,0.0493,0.0070,2.521,1
24.579,0.0502,0.0078,2.521,1
24.679,0.0511,0.0087,2.533,1
24.779,0.0520,0.0097,2.533,1
24.879,0.0530,0.0105,2.533,1
24.979,0.0540,0.0114,2.533,1
25.080,0.0552,0.0122,2.533,1
25.180,0.0563,0.0131,2.533,1
25.280,0.0575,0.0140,2.533,1
25.380,0.0586,0.0149,2.533,1
25.480,0.0596,0.0159,2.533,1
25.580,0.0607,0.0169,2.533,1
25.680,0.0618,0.0179,2.533,1
25.780,0.0628,0.0190,2.533,1
25.880,0.0638,0.0203,2.533,1
25.980,0.0648,0.0215,2.533,1
26.080,0.0657,0.0228,2.533,1
26.180,0.0667,0.0241,2.533,1
26.279,0.0676,0.0255,2.533,1
26.379,0.0685,0.0268,2.533,1
26.479,0.0695,0.0282,2.533,1
26.579,0.0705,0.0294,2.533,1
26.679,0.0715,0.0307,2.533,1
26.779,0.0725,0.0320,2.533,1
26.879,0.0736,0.0333,2.533,1
26.979,0.0746,0.0347,2.533,1
27.080,0.0756,0.0361,2.533,1
27.180,0.0766,0.0376,2.533,1
27.280,0.0775,0.0391,2.533,1
27.380,0.0784,0.0406,2.533,1
27.480,0.0795,0.0420,2.533,1
27.580,0.0807,0.0432,2.533,1
27.680,0.0820,0.0444,2.533,1
27.780,0.0835,0.0454,2.533,1
27.880,0.0922,0.0363,2.533,1
27.980,0.1619,0.0844,2.557,1
28.080,0.3154,0.2481,2.582,1
28.180,0.5179,0.4553,2.606,1
28.280,0.7406,0.6786,2.618,1
28.379,0.9679,0.9042,2.618,1
28.479,1.1923,1.1257,2.618,1
28.579,1.4106,1.3404,2.618,1
28.679,1.6216,1.5454,2.618,1
28.779,1.8251,1.7440,2.618,1
28.879,2.0211,1.9341,2.618,1
28.979,2.2095,2.1157,2.618,1
29.079,2.3906,2.2895,2.618,1
29.180,2.5660,2.4554,2.618,1
29.280,2.7330,2.6113,2.618,1
29.380,2.8933,2.7586,2.618,1
29.480,3.0468,2.8972,2.618,1
29.580,3.1936,3.0270,2.606,1
29.680,3.3339,3.1482,2.606,1
29.780,3.4677,3.2605,2.606,1
29.880,3.5954,3.3643,2.606,1
29.980,3.7171,3.4597,2.606,1
30.080,3.8333,3.5470,2.606,1
30.180,3.9443,3.6266,2.606,1
30.280,4.0503,3.6985,2.606,1
30.380,4.1516,3.7630,2.606,1
30.479,4.2484,3.8200,2.594,1
30.579,4.3403,3.8695,2.594,1
30.679,4.4279,3.9118,2.594,1
30.779,4.5112,3.9466,2.594,1
