# FLOW_HGT_MIN=0.0 head=126cf753c7 src=00000003.BIN - control: feature disabled, same binary as discard_floor5
t_s,truth_speed_ms,ekf_speed_ms,rng_m,const_pos
1.000,0.0000,0.0000,0.000,0
1.200,0.0000,0.0000,0.000,0
1.399,0.0000,0.0000,0.000,0
1.599,0.0000,0.0000,0.000,0
1.799,0.0000,0.0000,0.000,0
1.999,0.0000,0.0000,0.000,0
2.200,0.0000,0.0001,0.000,0
2.400,0.0000,0.0001,0.000,0
2.600,0.0000,0.0000,0.000,0
2.800,0.0000,0.0001,0.000,0
3.000,0.0000,0.0001,0.000,0
3.200,0.0000,0.0001,0.000,0
3.399,0.0000,0.0001,0.000,0
3.599,0.0000,0.0001,0.000,0
3.799,0.0000,0.0001,0.000,0
3.999,0.0000,0.0001,0.000,0
4.200,0.0000,0.0001,0.000,0
4.400,0.0000,0.0001,0.000,0
4.600,0.0000,0.0001,0.000,0
4.800,0.0000,0.0002,0.000,0
5.000,0.0000,0.0002,0.000,0
5.200,0.0000,0.0001,0.000,0
5.400,0.0000,0.0000,0.000,0
5.599,0.0000,0.0001,0.000,0
5.799,0.0000,0.0001,0.000,0
5.999,0.0000,0.0001,0.000,0
6.199,0.0000,0.0002,0.000,0
6.400,0.0000,0.0002,0.000,0
6.600,0.0000,0.0001,0.000,0
6.800,0.0000,0.0001,0.000,0
7.000,0.0000,0.0001,0.000,0
7.200,0.0000,0.0001,0.000,0
7.400,0.0000,0.0002,0.000,0
7.599,0.0000,0.0001,0.000,0
7.799,0.0000,0.0001,0.000,0
7.999,0.0000,0.0002,0.000,0
8.199,0.0000,0.0003,0.000,0
8.400,0.0000,0.0003,0.000,0
8.600,0.0000,0.0003,0.000,0
8.800,0.0000,0.0003,0.000,0
9.000,0.0000,0.0003,0.000,0
9.200,0.0000,0.0003,0.000,0
9.400,0.0000,0.0003,0.000,0
9.599,0.0000,0.0003,0.000,0
9.799,0.0000,0.0004,0.000,0
9.999,0.0000,0.0004,0.000,0
10.199,0.0000,0.0004,0.000,0
10.399,0.0000,0.0004,0.000,0
10.600,0.0000,0.0004,0.000,0
10.800,0.0000,0.0005,0.000,0
11.000,0.0000,0.0005,0.000,0
11.200,0.0000,0.0005,0.000,0
11.400,0.0000,0.0005,0.000,0
11.600,0.0000,0.0006,0.000,0
11.799,0.0000,0.0006,0.000,0
11.999,0.0000,0.0005,0.000,0
12.199,0.0000,0.0005,0.000,0
12.399,0.0000,0.0005,0.000,0
12.600,0.0000,0.0004,0.000,0
12.800,0.0000,0.0005,0.000,0
13.000,0.0000,0.0005,0.000,0
13.200,0.0000,0.0005,0.000,0
13.400,0.0000,0.0006,0.000,0
13.527,0.0000,0.0005,0.000,0
13.627,0.0000,0.0004,0.000,0
13.727,0.0000,0.0002,0.000,0
13.827,0.0000,0.0000,0.000,0
13.927,0.0000,0.0000,0.000,0
14.027,0.0000,0.0001,0.000,0
14.127,0.0000,0.0002,0.000,0
14.227,0.0000,0.0002,0.000,0
14.327,0.0000,0.0001,0.000,0
14.427,0.0000,0.0001,0.000,0
14.527,0.0000,0.0001,0.000,0
14.627,0.0000,0.0000,0.000,0
14.727,0.0000,0.0001,0.000,0
14.827,0.0000,0.0001,0.000,0
14.927,0.0000,0.0002,0.000,0
15.027,0.0000,0.0002,0.000,0
15.127,0.0000,0.0002,0.000,0
15.227,0.0000,0.0002,0.000,0
15.327,0.0000,0.0003,0.000,0
15.427,0.0000,0.0003,0.000,0
15.530,0.0000,0.0003,0.000,0
15.630,0.0000,0.0004,0.000,0
15.730,0.0000,0.0004,0.000,0
15.829,0.0000,0.0004,0.000,0
15.929,0.0000,0.0004,0.000,0
16.029,0.0000,0.0005,0.000,0
16.129,0.0000,0.0005,0.000,0
16.229,0.0000,0.0006,0.000,0
16.329,0.0000,0.0006,0.000,0
16.429,0.0000,0.0007,0.000,0
16.529,0.0000,0.0007,0.000,0
16.629,0.0000,0.0007,0.000,0
16.730,0.0000,0.0008,0.000,0
16.830,0.0000,0.0008,0.000,0
16.930,0.0000,0.0009,0.000,0
17.030,0.0000,0.0010,0.000,0
17.130,0.0000,0.0011,0.024,0
17.230,0.0000,0.0012,0.048,0
17.330,0.0000,0.0012,0.073,0
17.430,0.0000,0.0013,0.109,0
17.530,0.0001,0.0014,0.145,0
17.630,0.0005,0.0012,0.218,0
17.730,0.0011,0.0006,0.327,0
17.830,0.0019,0.0007,0.424,0
17.929,0.0029,0.0010,0.509,0
18.029,0.0040,0.0020,0.570,0
18.129,0.0052,0.0030,0.630,0
18.229,0.0063,0.0039,0.679,0
18.329,0.0073,0.0053,0.739,0
18.429,0.0083,0.0058,0.788,0
18.529,0.0092,0.0054,0.824,0
18.629,0.0101,0.0046,0.873,0
18.729,0.0111,0.0037,0.921,0
18.830,0.0122,0.0031,0.970,0
18.930,0.0134,0.0026,1.018,0
19.030,0.0146,0.0026,1.067,0
19.130,0.0158,0.0037,1.115,0
19.230,0.0169,0.0049,1.176,0
19.330,0.0179,0.0054,1.224,0
19.430,0.0188,0.0065,1.285,0
19.530,0.0197,0.0081,1.345,0
19.630,0.0206,0.0086,1.406,0
19.730,0.0214,0.0098,1.467,0
19.830,0.0220,0.0118,1.527,0
19.930,0.0225,0.0133,1.588,0
20.029,0.0230,0.0141,1.648,0
20.129,0.0236,0.0139,1.709,0
20.229,0.0242,0.0152,1.770,0
20.329,0.0247,0.0164,1.830,0
20.429,0.0252,0.0159,1.891,0
20.529,0.0255,0.0149,1.951,0
20.629,0.0258,0.0155,2.024,0
20.729,0.0259,0.0163,2.085,0
20.830,0.0261,0.0174,2.145,0
20.930,0.0264,0.0196,2.218,0
21.030,0.0268,0.0204,2.279,0
21.130,0.0270,0.0210,2.339,0
21.230,0.0273,0.0220,2.388,0
21.330,0.0276,0.0225,2.424,0
21.430,0.0278,0.0211,2.448,0
21.530,0.0280,0.0212,2.485,0
21.630,0.0283,0.0211,2.509,0
21.730,0.0285,0.0220,2.521,0
21.830,0.0288,0.0233,2.533,0
21.930,0.0291,0.0241,2.533,0
22.030,0.0293,0.0244,2.545,0
22.129,0.0297,0.0261,2.545,0
22.229,0.0300,0.0269,2.545,0
22.329,0.0304,0.0271,2.545,0
22.429,0.0307,0.0286,2.545,0
22.529,0.0310,0.0297,2.545,0
22.629,0.0313,0.0308,2.545,0
22.729,0.0317,0.0333,2.545,0
22.829,0.0320,0.0364,2.545,0
22.930,0.0321,0.0375,2.545,0
23.030,0.0321,0.0385,2.545,0
23.130,0.0320,0.0390,2.545,0
23.230,0.0319,0.0402,2.557,0
23.330,0.0318,0.0392,2.557,0
23.430,0.0318,0.0364,2.557,0
23.530,0.0318,0.0349,2.557,0
23.630,0.0320,0.0335,2.557,0
23.730,0.0322,0.0319,2.569,0
23.830,0.0325,0.0302,2.569,0
23.930,0.0329,0.0299,2.569,0
24.030,0.0334,0.0278,2.569,0
24.130,0.0340,0.0248,2.569,0
24.229,0.0344,0.0229,2.569,0
24.329,0.0348,0.0227,2.569,0
24.429,0.0352,0.0222,2.569,0
24.529,0.0355,0.0196,2.569,0
24.629,0.0358,0.0167,2.569,0
24.729,0.0361,0.0167,2.569,0
24.829,0.0364,0.0164,2.569,0
24.929,0.0368,0.0148,2.569,0
25.030,0.0371,0.0157,2.569,0
25.130,0.0375,0.0175,2.569,0
25.230,0.0378,0.0196,2.569,0
25.330,0.0382,0.0213,2.569,0
25.430,0.0386,0.0208,2.569,0
25.530,0.0389,0.0193,2.569,0
25.630,0.0393,0.0159,2.569,0
25.730,0.0397,0.0127,2.569,0
25.830,0.0400,0.0099,2.569,0
25.930,0.0404,0.0090,2.569,0
26.030,0.0408,0.0114,2.569,0
26.130,0.0413,0.0132,2.569,0
26.230,0.0419,0.0154,2.569,0
26.329,0.0426,0.0159,2.569,0
26.429,0.0433,0.0158,2.569,0
26.529,0.0440,0.0137,2.569,0
26.629,0.0446,0.0150,2.569,0
26.729,0.0453,0.0173,2.569,0
26.829,0.0461,0.0211,2.569,0
26.929,0.0469,0.0246,2.569,0
27.029,0.0482,0.0449,2.569,0
27.130,0.0771,0.1439,2.582,0
27.230,0.1942,0.3152,2.618,0
27.330,0.3783,0.5248,2.642,0
27.430,0.5940,0.7527,2.654,0
27.530,0.8203,0.9824,2.654,0
27.630,1.0464,1.2110,2.654,0
27.730,1.2678,1.4345,2.654,0
27.830,1.4827,1.6489,2.654,0
27.930,1.6904,1.8538,2.654,0
28.030,1.8908,2.0524,2.654,0
28.130,2.0831,2.2423,2.666,0
28.230,2.2677,2.4243,2.666,0
28.329,2.4447,2.6005,2.666,0
28.429,2.6143,2.7683,2.666,0
28.529,2.7768,2.9265,2.666,0
28.629,2.9323,3.0781,2.666,0
28.729,3.0808,3.2231,2.666,0
28.829,3.2229,3.3597,2.666,0
28.929,3.3587,3.4909,2.679,0
29.029,3.4885,3.6183,2.679,0
29.129,3.6122,3.7383,2.679,0
29.230,3.7311,3.8519,2.679,0
29.330,3.8434,3.9580,2.679,0
29.430,3.9503,4.0596,2.679,0
29.530,4.0520,4.1574,2.679,0
29.630,4.1488,4.2510,2.679,0
29.730,4.2407,4.3396,2.679,0
29.830,4.3281,4.4238,2.666,0
29.930,4.4111,4.5051,2.666,0
30.030,4.4899,4.5823,2.666,0
30.130,4.5646,4.6553,2.666,0
30.230,4.6355,4.7246,2.666,0
