# FLOW_HGT_MIN=5.0 head=946708d630 src=00000003.BIN - PR head: the sample is zeroed and fused as no ground motion
t_s,truth_speed_ms,ekf_speed_ms,rng_m,const_pos
1.000,0.0000,0.0000,0.000,0
1.200,0.0000,0.0000,0.000,0
1.399,0.0000,0.0000,0.000,0
1.599,0.0000,0.0000,0.000,0
1.799,0.0000,0.0000,0.000,0
1.999,0.0000,0.0000,0.000,0
2.200,0.0000,0.0001,0.000,0
2.400,0.0000,0.0001,0.000,0
2.600,0.0000,0.0000,0.000,0
2.800,0.0000,0.0001,0.000,0
3.000,0.0000,0.0001,0.000,0
3.200,0.0000,0.0001,0.000,0
3.399,0.0000,0.0001,0.000,0
3.599,0.0000,0.0001,0.000,0
3.799,0.0000,0.0001,0.000,0
3.999,0.0000,0.0001,0.000,0
4.200,0.0000,0.0001,0.000,0
4.400,0.0000,0.0001,0.000,0
4.600,0.0000,0.0001,0.000,0
4.800,0.0000,0.0002,0.000,0
5.000,0.0000,0.0002,0.000,0
5.200,0.0000,0.0001,0.000,0
5.400,0.0000,0.0000,0.000,0
5.599,0.0000,0.0001,0.000,0
5.799,0.0000,0.0001,0.000,0
5.999,0.0000,0.0001,0.000,0
6.199,0.0000,0.0002,0.000,0
6.400,0.0000,0.0002,0.000,0
6.600,0.0000,0.0001,0.000,0
6.800,0.0000,0.0001,0.000,0
7.000,0.0000,0.0001,0.000,0
7.200,0.0000,0.0001,0.000,0
7.400,0.0000,0.0002,0.000,0
7.599,0.0000,0.0001,0.000,0
7.799,0.0000,0.0001,0.000,0
7.999,0.0000,0.0002,0.000,0
8.199,0.0000,0.0003,0.000,0
8.400,0.0000,0.0003,0.000,0
8.600,0.0000,0.0003,0.000,0
8.800,0.0000,0.0003,0.000,0
9.000,0.0000,0.0003,0.000,0
9.200,0.0000,0.0003,0.000,0
9.400,0.0000,0.0003,0.000,0
9.599,0.0000,0.0003,0.000,0
9.799,0.0000,0.0004,0.000,0
9.999,0.0000,0.0004,0.000,0
10.199,0.0000,0.0004,0.000,0
10.400,0.0000,0.0004,0.000,0
10.600,0.0000,0.0004,0.000,0
10.800,0.0000,0.0005,0.000,0
11.000,0.0000,0.0005,0.000,0
11.200,0.0000,0.0005,0.000,0
11.400,0.0000,0.0005,0.000,0
11.600,0.0000,0.0006,0.000,0
11.799,0.0000,0.0006,0.000,0
11.999,0.0000,0.0005,0.000,0
12.199,0.0000,0.0005,0.000,0
12.399,0.0000,0.0005,0.000,0
12.600,0.0000,0.0004,0.000,0
12.800,0.0000,0.0005,0.000,0
13.000,0.0000,0.0005,0.000,0
13.200,0.0000,0.0005,0.000,0
13.400,0.0000,0.0006,0.000,0
13.600,0.0000,0.0005,0.000,0
13.799,0.0000,0.0005,0.000,0
13.999,0.0000,0.0005,0.000,0
14.199,0.0000,0.0005,0.000,0
14.399,0.0000,0.0005,0.000,0
14.553,0.0000,0.0006,0.000,0
14.652,0.0000,0.0006,0.000,0
14.752,0.0000,0.0004,0.000,0
14.852,0.0000,0.0002,0.000,0
14.952,0.0000,0.0000,0.000,0
15.052,0.0000,0.0001,0.000,0
15.152,0.0000,0.0002,0.000,0
15.252,0.0000,0.0002,0.000,0
15.352,0.0000,0.0002,0.000,0
15.455,0.0000,0.0002,0.000,0
15.555,0.0000,0.0002,0.000,0
15.655,0.0000,0.0002,0.000,0
15.755,0.0000,0.0002,0.000,0
15.854,0.0000,0.0001,0.000,0
15.954,0.0000,0.0001,0.000,0
16.054,0.0000,0.0000,0.000,0
16.154,0.0000,0.0001,0.000,0
16.254,0.0000,0.0002,0.000,0
16.354,0.0000,0.0002,0.000,0
16.454,0.0000,0.0003,0.000,0
16.554,0.0000,0.0003,0.000,0
16.655,0.0000,0.0003,0.000,0
16.755,0.0000,0.0004,0.000,0
16.855,0.0000,0.0005,0.000,0
16.955,0.0000,0.0006,0.000,0
17.055,0.0000,0.0007,0.000,0
17.155,0.0000,0.0006,0.000,0
17.255,0.0000,0.0007,0.000,0
17.355,0.0000,0.0007,0.000,0
17.455,0.0000,0.0007,0.000,0
17.555,0.0000,0.0008,0.000,0
17.655,0.0000,0.0008,0.000,0
17.755,0.0000,0.0008,0.000,0
17.855,0.0000,0.0008,0.000,0
17.954,0.0000,0.0009,0.000,0
18.054,0.0000,0.0009,0.000,0
18.154,0.0000,0.0010,0.024,0
18.254,0.0000,0.0010,0.048,0
18.354,0.0000,0.0011,0.073,0
18.454,0.0000,0.0012,0.109,0
18.554,0.0001,0.0014,0.145,0
18.654,0.0006,0.0013,0.218,0
18.755,0.0013,0.0008,0.327,0
18.855,0.0021,0.0003,0.424,0
18.955,0.0032,0.0010,0.509,0
19.055,0.0044,0.0021,0.570,0
19.155,0.0057,0.0030,0.630,0
19.255,0.0070,0.0040,0.679,0
19.355,0.0083,0.0048,0.739,0
19.455,0.0094,0.0054,0.788,0
19.555,0.0105,0.0058,0.824,0
19.655,0.0115,0.0061,0.873,0
19.755,0.0125,0.0063,0.909,0
19.855,0.0135,0.0065,0.970,0
19.955,0.0145,0.0066,1.018,0
20.054,0.0155,0.0066,1.067,0
20.154,0.0164,0.0065,1.115,0
20.254,0.0172,0.0063,1.176,0
20.354,0.0180,0.0061,1.224,0
20.454,0.0189,0.0059,1.285,0
20.554,0.0198,0.0057,1.345,0
20.654,0.0207,0.0054,1.394,0
20.754,0.0216,0.0053,1.454,0
20.855,0.0227,0.0052,1.527,0
20.955,0.0239,0.0052,1.588,0
21.055,0.0248,0.0049,1.648,0
21.155,0.0255,0.0044,1.709,0
21.255,0.0262,0.0039,1.770,0
21.355,0.0269,0.0034,1.830,0
21.455,0.0276,0.0030,1.891,0
21.555,0.0284,0.0025,1.951,0
21.655,0.0291,0.0021,2.012,0
21.755,0.0298,0.0017,2.085,0
21.855,0.0306,0.0015,2.145,0
21.955,0.0315,0.0014,2.206,0
22.055,0.0323,0.0014,2.266,0
22.154,0.0332,0.0014,2.327,0
22.254,0.0342,0.0015,2.376,0
22.354,0.0352,0.0016,2.412,0
22.454,0.0362,0.0017,2.448,0
22.554,0.0372,0.0019,2.460,0
22.654,0.0383,0.0022,2.485,0
22.754,0.0393,0.0024,2.509,0
22.854,0.0404,0.0027,2.509,0
22.955,0.0415,0.0030,2.509,0
23.055,0.0426,0.0033,2.521,0
23.155,0.0437,0.0037,2.521,0
23.255,0.0448,0.0040,2.521,0
23.355,0.0460,0.0045,2.521,0
23.455,0.0471,0.0049,2.521,0
23.555,0.0482,0.0054,2.521,0
23.655,0.0492,0.0058,2.521,0
23.755,0.0504,0.0062,2.521,0
23.855,0.0515,0.0066,2.521,0
23.955,0.0527,0.0069,2.521,0
24.055,0.0539,0.0072,2.521,0
24.155,0.0551,0.0075,2.521,0
24.254,0.0564,0.0078,2.521,0
24.354,0.0576,0.0082,2.533,0
24.454,0.0588,0.0085,2.533,0
24.554,0.0598,0.0089,2.533,0
24.654,0.0607,0.0095,2.533,0
24.754,0.0614,0.0103,2.533,0
24.854,0.0620,0.0112,2.545,0
24.954,0.0624,0.0122,2.545,0
25.055,0.0628,0.0132,2.545,0
25.155,0.0632,0.0142,2.545,0
25.255,0.0638,0.0148,2.545,0
25.355,0.0646,0.0153,2.545,0
25.455,0.0655,0.0156,2.545,0
25.555,0.0664,0.0157,2.545,0
25.655,0.0674,0.0158,2.557,0
25.755,0.0685,0.0159,2.557,0
25.855,0.0695,0.0160,2.557,0
25.955,0.0704,0.0162,2.557,0
26.055,0.0714,0.0162,2.557,0
26.155,0.0725,0.0162,2.557,0
26.254,0.0736,0.0162,2.557,0
26.354,0.0747,0.0162,2.557,0
26.454,0.0758,0.0162,2.557,0
26.554,0.0768,0.0162,2.557,0
26.654,0.0778,0.0162,2.557,0
26.754,0.0788,0.0163,2.557,0
26.854,0.0798,0.0163,2.557,0
26.954,0.0808,0.0164,2.557,0
27.055,0.0818,0.0166,2.557,0
27.155,0.0827,0.0168,2.557,0
27.255,0.0836,0.0170,2.545,0
27.355,0.0844,0.0174,2.545,0
27.455,0.0851,0.0180,2.545,0
27.555,0.0858,0.0185,2.545,0
27.655,0.0864,0.0191,2.545,0
27.755,0.0875,0.0188,2.545,0
27.855,0.1133,0.0355,2.557,0
27.955,0.2217,0.1607,2.582,0
28.055,0.4008,0.3469,2.606,0
28.155,0.6146,0.5580,2.618,0
28.255,0.8403,0.7720,2.630,0
28.354,1.0664,0.9772,2.630,0
28.454,1.2877,1.1680,2.630,0
28.554,1.5022,1.3423,2.630,0
28.654,1.7093,1.4980,2.630,0
28.754,1.9088,1.6385,2.630,0
28.854,2.1009,1.7627,2.618,0
28.954,2.2860,1.8714,2.618,0
29.054,2.4645,1.9595,2.606,0
29.155,2.6383,2.0440,2.606,0
29.255,2.8049,2.1139,2.594,0
29.355,2.9660,2.1712,2.582,0
29.455,3.1221,2.2170,2.569,0
29.555,3.2733,2.2523,2.557,0
29.655,3.4197,2.2777,2.533,0
29.755,3.5617,2.2939,2.521,0
29.855,3.6994,2.3016,2.497,0
29.955,3.8331,2.3015,2.472,0
30.055,3.9628,2.2938,2.460,0
30.155,4.0888,2.2789,2.436,0
30.255,4.2114,2.2576,2.412,0
30.355,4.3301,2.2298,2.388,0
30.454,4.4456,2.1963,2.376,0
30.554,4.5576,2.1572,2.351,0
30.654,4.6666,2.1133,2.327,0
30.754,4.7724,2.0645,2.315,0
